z	10 mm Bz	10 mm Br	28 mm Bz	28 mm Br	48 mm Bz	48 mm Br	68 mm Bz	68 mm Br	88 mm Bz	88 mm Br
-1301.8	0.0011113	-0.00014778	0.001112	-0.00025669	0.001105	-0.00035545	0.0010902	-0.00046914	0.00077003	-3.6632e-05
-1300.9	0.0011324	-0.00014837	0.0011332	-0.00025744	0.0011262	-0.00035682	0.0011113	-0.00047106	0.00078378	-3.6697e-05
-1300.0	0.0011536	-0.00014876	0.0011545	-0.00025843	0.0011476	-0.00035926	0.0011325	-0.00047275	0.00079781	-3.7437e-05
-1299.1	0.001175	-0.00014992	0.0011759	-0.0002589	0.001169	-0.00036091	0.0011538	-0.00047496	0.00081196	-3.7783e-05
-1298.2	0.0011964	-0.00014991	0.0011973	-0.00025968	0.0011905	-0.00036175	0.0011751	-0.00047505	0.00082627	-3.8196e-05
-1297.3	0.001218	-0.00015185	0.001219	-0.0002628	0.0012122	-0.00036555	0.0011966	-0.00047978	0.00084062	-3.829e-05
-1296.4	0.0012397	-0.00015211	0.0012407	-0.0002631	0.0012339	-0.00036511	0.0012181	-0.00048054	0.00085499	-3.8346e-05
-1295.5	0.0012614	-0.00015224	0.0012623	-0.00026147	0.0012555	-0.00036337	0.0012396	-0.00047996	0.00086924	-3.8037e-05
-1294.6	0.0012833	-0.0001538	0.0012841	-0.00026436	0.0012773	-0.00036693	0.0012613	-0.00048413	0.00088346	-3.7962e-05
-1293.7	0.0013052	-0.00015418	0.0013061	-0.00026636	0.0012992	-0.00036991	0.0012831	-0.00048641	0.00089761	-3.7779e-05
-1292.8	0.0013271	-0.00015377	0.0013281	-0.00026607	0.0013212	-0.00036961	0.0013049	-0.00048576	0.00091162	-3.7378e-05
-1291.9	0.0013491	-0.00015438	0.0013501	-0.00026692	0.0013432	-0.00037079	0.0013268	-0.000488	0.00092538	-3.6735e-05
-1291.0	0.0013713	-0.0001554	0.0013723	-0.00026869	0.0013654	-0.00037293	0.0013488	-0.00049203	0.00093887	-3.6011e-05
-1290.1	0.0013935	-0.00015608	0.0013945	-0.00026939	0.0013876	-0.0003732	0.0013709	-0.00049137	0.00095292	-3.7505e-05
-1289.2	0.0014159	-0.00015718	0.0014169	-0.00027072	0.0014099	-0.00037473	0.0013931	-0.00049525	0.00096744	-3.8733e-05
-1288.3	0.0014385	-0.00015836	0.0014393	-0.00027147	0.0014322	-0.00037629	0.0014154	-0.00049758	0.00098195	-3.8746e-05
-1287.4	0.001461	-0.00015815	0.0014617	-0.00027139	0.0014546	-0.00037685	0.0014377	-0.00049883	0.00099651	-3.8857e-05
-1286.5	0.0014837	-0.00015901	0.0014843	-0.00027405	0.0014772	-0.00038053	0.0014602	-0.00050196	0.0010107	-3.7886e-05
-1285.6	0.0015063	-0.00015918	0.001507	-0.00027541	0.0014999	-0.00038231	0.0014829	-0.0005053	0.0010243	-3.6417e-05
-1284.7	0.001529	-0.00015909	0.0015297	-0.00027525	0.0015226	-0.00038196	0.0015054	-0.00050348	0.0010378	-3.5828e-05
-1283.8	0.0015519	-0.00016059	0.0015527	-0.00027803	0.0015456	-0.00038603	0.0015282	-0.00050763	0.0010513	-3.6069e-05
-1282.9	0.0015747	-0.0001604	0.0015756	-0.00027786	0.0015685	-0.00038547	0.0015509	-0.00050758	0.0010648	-3.609e-05
-1282.0	0.0015976	-0.00016075	0.0015985	-0.00027737	0.0015913	-0.00038401	0.0015736	-0.00050627	0.0010791	-3.8037e-05
-1281.1	0.0016207	-0.00016154	0.0016215	-0.00027865	0.0016143	-0.00038647	0.0015965	-0.00051104	0.0010931	-3.7396e-05
